gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3925252326	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235939896/original.jpg	https://www.inaturalist.org/photos/235939896					2017-04-07T17:24:00Z	earthquest_canada		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	earthquest_canada
3925234627	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236434601/original.jpg	https://www.inaturalist.org/photos/236434601					2022-09-10T20:41:39Z	woodhaunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodhaunt
3925229514	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236247928/original.jpg	https://www.inaturalist.org/photos/236247928					2022-10-04T20:50:47Z	Shayn Mc		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Shayn Mc
3925218749	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236580103/original.jpeg	https://www.inaturalist.org/photos/236580103					2022-10-11T18:09:02Z	errantlight		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	errantlight
3925218749	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/236670838/original.jpeg	https://www.inaturalist.org/photos/236670838					2022-10-11T20:59:50Z	errantlight		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	errantlight
3925196783	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235031314/original.jpg	https://www.inaturalist.org/photos/235031314					2022-08-27T22:20:54Z	woodhaunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodhaunt
3925196783	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235031325/original.jpg	https://www.inaturalist.org/photos/235031325					2022-08-27T22:20:59Z	woodhaunt		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	woodhaunt
3925182901	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235241231/original.jpg	https://www.inaturalist.org/photos/235241231					2022-08-26T22:09:13Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3925182901	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235241222/original.jpg	https://www.inaturalist.org/photos/235241222					2022-08-26T22:09:13Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
3925182901	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/235241247/original.jpg	https://www.inaturalist.org/photos/235241247					2022-08-26T22:09:13Z	eemill		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	eemill
